model,method,image,deletion_auc,insertion_auc
resnet18,eigencam,7027-147.jpg,0.24994966387748718,0.5974921584129333
resnet18,scorecam,7001-2.jpg,0.2240457683801651,0.804884135723114
resnet18,scorecam,7001-26.jpg,0.127257838845253,0.7871142625808716
resnet18,scorecam,7002-33.jpg,0.21096517145633698,0.8814795613288879
resnet18,scorecam,7002-48.jpg,0.3275490701198578,0.9463191032409668
resnet18,scorecam,7004-143.jpg,0.3717772960662842,0.9078854322433472
resnet18,scorecam,7004-197.jpg,0.16696424782276154,0.8290073871612549
resnet18,scorecam,7004-92.jpg,0.21367661654949188,0.7589410543441772
resnet18,scorecam,7005-119.jpg,0.19871093332767487,0.8441323637962341
resnet18,scorecam,7005-78.jpg,0.33178940415382385,0.9155597686767578
resnet18,scorecam,7006-134.jpg,0.297820121049881,0.95359867811203
resnet18,scorecam,7006-154.jpg,0.27839282155036926,0.8607795238494873
resnet18,scorecam,7006-73.jpg,0.30463624000549316,0.9352126121520996
resnet18,scorecam,7006-77.jpg,0.3519846200942993,0.945760190486908
resnet18,scorecam,7006-96.jpg,0.3160512149333954,0.8832671642303467
resnet18,scorecam,7007-186.jpg,0.1632658839225769,0.9038732051849365
resnet18,scorecam,7008-56.jpg,0.33169683814048767,0.9578441977500916
resnet18,scorecam,7009-114.jpg,0.5577427744865417,0.9194275140762329
